# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.04821e-05 to 104.929 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       3.375776864037e-01       7.700036813847e+02      -8.282139049461e+01       2.740787165909e+06       1.162063350105e+03      -9.081664705540e+02       2.743995288115e+06      -2.744475727826e+06      -2.115453706572e+03       7.273345561509e+02 
       3.491252535009e-01       7.691596057531e+02      -8.283256019124e+01       2.740683991374e+06       1.146473397734e+03      -8.938756609606e+02       2.744036813988e+06      -2.744503643717e+06      -2.049148953757e+03       6.795913642037e+02 
       3.611408092198e-01       7.670576061890e+02      -8.281423701961e+01       2.740581296600e+06       1.129894338563e+03      -8.788954674518e+02       2.744079044722e+06      -2.744532276626e+06      -1.983330393316e+03       6.346734511767e+02 
       3.736612519576e-01       7.639263265593e+02      -8.276049543717e+01       2.740479064613e+06       1.112356054970e+03      -8.632481006450e+02       2.744121949109e+06      -2.744561596631e+06      -1.917841436881e+03       5.926013902209e+02 
       3.867296308400e-01       7.595833360752e+02      -8.267607107213e+01       2.740377256447e+06       1.093861940827e+03      -8.469473780240e+02       2.744165506602e+06      -2.744591582131e+06      -1.852800207988e+03       5.528411744505e+02 
       4.003965754955e-01       7.541229832823e+02      -8.255740662084e+01       2.740275819582e+06       1.074416544756e+03      -8.300020888587e+02       2.744209707098e+06      -2.744622220435e+06      -1.788133947492e+03       5.150334871010e+02 
       4.147221629493e-01       7.478407016794e+02      -8.239518356918e+01       2.740174683055e+06       1.054026875791e+03      -8.124156613464e+02       2.744254552369e+06      -2.744653508181e+06      -1.723623885067e+03       4.790717776437e+02 
       4.297783933988e-01       7.404091171813e+02      -8.219877566790e+01       2.740073751061e+06       1.032685929847e+03      -7.941806189999e+02       2.744300060861e+06      -2.744685453229e+06      -1.659440923853e+03       4.449884905141e+02 
       4.456525297052e-01       7.316232704125e+02      -8.197312357226e+01       2.739972893313e+06       1.010378012859e+03      -7.752847231243e+02       2.744346268764e+06      -2.744718076525e+06      -1.595653632419e+03       4.127343675979e+02 
       4.624516873053e-01       7.218772939621e+02      -8.170351294178e+01       2.739871940562e+06       9.870750634777e+02      -7.557099438892e+02       2.744393236208e+06      -2.744751418610e+06      -1.531908915176e+03       3.820456876778e+02 
       4.803092763053e-01       7.111044009140e+02      -8.138840374838e+01       2.739770680271e+06       9.627180107718e+02      -7.354108776800e+02       2.744441050778e+06      -2.744785540725e+06      -1.468106502025e+03       3.527942657529e+02 
       4.993942590150e-01       6.990280924450e+02      -8.103154724922e+01       2.739668837263e+06       9.372248276314e+02      -7.143230583129e+02       2.744489835275e+06      -2.744820530229e+06      -1.404230530885e+03       3.249113859965e+02 
       5.199248147477e-01       6.856287414585e+02      -8.062699497184e+01       2.739566055145e+06       9.104969868980e+02      -6.923720857337e+02       2.744539760768e+06      -2.744856511393e+06      -1.340042957450e+03       2.982616505121e+02 
       5.421891392582e-01       6.708894411074e+02      -8.016588691711e+01       2.739461869429e+06       8.823753374728e+02      -6.694366172972e+02       2.744591062934e+06      -2.744893658515e+06      -1.275230329757e+03       2.727016813101e+02 
       5.665782484124e-01       6.546506535217e+02      -7.963973450298e+01       2.739355660671e+06       8.526350708705e+02      -6.453451385760e+02       2.744644067162e+06      -2.744932214200e+06      -1.209437892255e+03       2.480902538106e+02 
       5.936399009514e-01       6.365679653245e+02      -7.904001843478e+01       2.739246586395e+06       8.209685616278e+02      -6.198641661685e+02       2.744699228678e+06      -2.744972519747e+06      -1.142235005420e+03       2.242851490983e+02 
       6.241716522248e-01       6.163597521792e+02      -7.834797239762e+01       2.739133470735e+06       7.869172007661e+02      -5.926461273066e+02       2.744757198786e+06      -2.745015067173e+06      -1.072926406402e+03       2.011032050920e+02 
       6.593909095230e-01       5.935164622261e+02      -7.753562820653e+01       2.739014616193e+06       7.498052439169e+02      -5.631811682225e+02       2.744818935455e+06      -2.745060583864e+06      -1.000524165029e+03       1.783257907218e+02 
       7.012673428080e-01       5.673682993877e+02      -7.655578167151e+01       2.738887477575e+06       7.085598675079e+02      -5.306639592231e+02       2.744885896531e+06      -2.745110181104e+06      -9.235319195522e+02       1.556719417874e+02 
       7.532244767116e-01       5.362095450899e+02      -7.534823046328e+01       2.738748084014e+06       6.614731851727e+02      -4.938181618657e+02       2.744960386322e+06      -2.745165619661e+06      -8.398626924391e+02       1.328079491868e+02 
       8.217400387371e-01       4.978717278751e+02      -7.377898220853e+01       2.738590063511e+06       6.057268846877e+02      -4.505471049596e+02       2.745046170776e+06      -2.745229794699e+06      -7.459376004075e+02       1.092604125839e+02 
       9.201281918562e-01       4.484326416255e+02      -7.159179893649e+01       2.738403666784e+06       5.365986195557e+02      -3.973878307855e+02       2.745149175237e+06      -2.745307301585e+06      -6.364311731460e+02       8.456005015997e+01 
       1.075596819086e+00       3.823062641243e+02      -6.835811514795e+01       2.738179786609e+06       4.485234616634e+02      -3.304129887003e+02       2.745275476259e+06      -2.745402977871e+06      -5.070367009633e+02       5.908670654993e+01 
       1.323276063831e+00       3.011109709344e+02      -6.378726499411e+01       2.737937480090e+06       3.465104217186e+02      -2.538500618100e+02       2.745415385640e+06      -2.745509761690e+06      -3.699428773211e+02       3.642780836686e+01 
       1.663052197866e+00       2.215861747641e+02      -5.854176293394e+01       2.737733150051e+06       2.544095298512e+02      -1.856566423284e+02       2.745536065404e+06      -2.745602542506e+06      -2.571447791044e+02       2.116674298036e+01 
       2.093603749249e+00       1.488603851548e+02      -5.320990451606e+01       2.737581889129e+06       1.820290383289e+02      -1.327177536970e+02       2.745627113142e+06      -2.745672970340e+06      -1.756617552629e+02       1.213957496092e+01 
       2.635690754566e+00       7.616557970501e+01      -4.797043728549e+01       2.737473450670e+06       1.274891877920e+02      -9.324562738472e+01       2.745693384247e+06      -2.745724483445e+06      -1.185586487077e+02       6.905332588116e+00 
       3.318138068444e+00       1.414310226761e+01      -4.292088883879e+01       2.737397367815e+06       8.757640557012e+01      -6.462287473176e+01       2.745740458779e+06      -2.745761220971e+06      -7.929962901936e+01       3.898337003507e+00 
       4.177288334205e+00       4.779384727163e-02      -3.814130672931e+01       2.737345021191e+06       5.909941643052e+01      -4.436705112544e+01       2.745773175255e+06      -2.745786837053e+06      -5.278120845009e+01       2.185777313923e+00 
       5.258894436322e+00      -5.948674222434e-06      -3.368748551276e+01       2.737309644327e+06       3.924326072810e+01      -3.034491343167e+01       2.745795469433e+06      -2.745804339747e+06      -3.515176022832e+01       1.218087742639e+00 
       6.620555843829e+00      -4.666112377622e-08      -2.958753643145e+01       2.737286120649e+06       2.567850071500e+01      -2.082665118840e+01       2.745810396282e+06      -2.745816084764e+06      -2.359316547101e+01       6.750227213498e-01 
       8.334785991999e+00      -3.537876594593e-10      -2.585198148955e+01       2.737270707907e+06       1.657816346063e+01      -1.447735328529e+01       2.745820233314e+06      -2.745823839595e+06      -1.610722364065e+01       3.721368593896e-01 
       1.049287388719e+01      -1.387402586115e-12      -2.246892933740e+01       2.737260744588e+06       1.056690090722e+01      -1.030557291972e+01       2.745826624154e+06      -2.745828886115e+06      -1.130711450096e+01       2.040715519025e-01 
